CIF file,Number of atoms in supercell,Min distance,Processing time (s)
1241826.cif,370,N/A,0.002
1000168.cif,402,N/A,0.002
1929384.cif,416,N/A,0.003
1013672.cif,228,N/A,0.001
537563.cif,495,N/A,0.002
1611558.cif,323,N/A,0.002
1008252.cif,356,N/A,0.002
1049568.cif,456,N/A,0.002
536133.cif,233,N/A,0.002
1150763.cif,211,N/A,0.002
1718540.cif,222,N/A,0.001
1642896.cif,342,N/A,0.002
1230991.cif,228,N/A,0.001
458826.cif,206,N/A,0.002
458832.cif,206,N/A,0.002
535348.cif,180,N/A,0.001
309832.cif,316,N/A,0.001
1230985.cif,228,N/A,0.001
1643544.cif,212,N/A,0.002
1120290.cif,296,N/A,0.002
536127.cif,178,N/A,0.001
1008256.cif,175,N/A,0.002
1810515.cif,233,N/A,0.002
537567.cif,495,N/A,0.002
1013676.cif,228,N/A,0.001
1430258.cif,228,N/A,0.001
1141124.cif,383,N/A,0.003
1433989.cif,418,N/A,0.003
1241822.cif,296,N/A,0.002
1819525.cif,267,N/A,0.002
461047.cif,440,N/A,0.002
537573.cif,212,N/A,0.001
312580.cif,466,N/A,0.003
1320210.cif,266,N/A,0.002
1611548.cif,129,N/A,0.001
1008242.cif,326,N/A,0.003
1612041.cif,386,N/A,0.002
1049578.cif,456,N/A,0.002
1150773.cif,211,N/A,0.002
536123.cif,178,N/A,0.001
1120294.cif,212,N/A,0.001
300812.cif,212,N/A,0.002
1230981.cif,228,N/A,0.001
458836.cif,206,N/A,0.002
1924698.cif,129,N/A,0.001
1012554.cif,206,N/A,0.002
560417.cif,267,N/A,0.002
1434016.cif,296,N/A,0.002
1642892.cif,342,N/A,0.002
300806.cif,212,N/A,0.001
1230995.cif,228,N/A,0.001
1643554.cif,228,N/A,0.001
1228102.cif,323,N/A,0.002
1150767.cif,211,N/A,0.002
555321.cif,296,N/A,0.002
1612928.cif,183,N/A,0.002
1960025.cif,212,N/A,0.002
1340255.cif,436,N/A,0.004
1960031.cif,212,N/A,0.001
1340241.cif,233,N/A,0.001
1963538.cif,265,N/A,0.002
1944187.cif,233,N/A,0.001
1531185.cif,332,N/A,0.003
1008281.cif,210,N/A,0.001
1410639.cif,228,N/A,0.001
461912.cif,180,N/A,0.001
1901395.cif,426,N/A,0.002
1627011.cif,261,N/A,0.002
1960019.cif,212,N/A,0.001
1013689.cif,199,N/A,0.002
537598.cif,212,N/A,0.002
1340269.cif,199,N/A,0.002
1816825.cif,267,N/A,0.002
1828707.cif,316,N/A,0.001
1210338.cif,206,N/A,0.002
1227594.cif,228,N/A,0.001
1218764.cif,175,N/A,0.002
1007830.cif,206,N/A,0.002
1232199.cif,296,N/A,0.002
555309.cif,296,N/A,0.002
1829828.cif,295,N/A,0.002
300392.cif,212,N/A,0.001
1718008.cif,394,N/A,0.002
1233708.cif,450,N/A,0.003
538330.cif,212,N/A,0.001
1907519.cif,332,N/A,0.002
1222163.cif,418,N/A,0.003
1944434.cif,296,N/A,0.002
1952256.cif,332,N/A,0.002
1122865.cif,228,N/A,0.001
1008054.cif,228,N/A,0.001
1501287.cif,175,N/A,0.002
1047757.cif,212,N/A,0.001
1148316.cif,194,N/A,0.002
538442.cif,228,N/A,0.001
300386.cif,212,N/A,0.001
1013448.cif,183,N/A,0.002
1010141.cif,212,N/A,0.001
1008068.cif,464,N/A,0.002
1024582.cif,307,N/A,0.002
1147019.cif,103,N/A,0.001
1810059.cif,495,N/A,0.002
1320748.cif,175,N/A,0.002
1927187.cif,180,N/A,0.001
300351.cif,212,N/A,0.002
1965439.cif,175,N/A,0.002
300437.cif,206,N/A,0.002
1121363.cif,286,N/A,0.002
1718961.cif,272,N/A,0.001
1721886.cif,228,N/A,0.001
1237591.cif,160,N/A,0.002
1227782.cif,212,N/A,0.002
315006.cif,332,N/A,0.003
1803794.cif,212,N/A,0.001
1406271.cif,212,N/A,0.002
548628.cif,212,N/A,0.001
1216239.cif,394,N/A,0.002
301715.cif,212,N/A,0.001
1633266.cif,402,N/A,0.002
1831726.cif,451,N/A,0.003
1633272.cif,402,N/A,0.002
1718785.cif,228,N/A,0.001
1412210.cif,296,N/A,0.002
1042808.cif,473,N/A,0.003
1406265.cif,261,N/A,0.002
1411719.cif,212,N/A,0.001
1937431.cif,414,N/A,0.002
315012.cif,212,N/A,0.001
300379.cif,212,N/A,0.002
1612445.cif,228,N/A,0.001
1008646.cif,394,N/A,0.002
1804616.cif,450,N/A,0.003
1007213.cif,448,N/A,0.002
1008120.cif,180,N/A,0.001
1955459.cif,175,N/A,0.002
1236076.cif,436,N/A,0.003
1228248.cif,228,N/A,0.001
460749.cif,212,N/A,0.002
1253822.cif,323,N/A,0.003
1245098.cif,272,N/A,0.001
302383.cif,383,N/A,0.003
1232210.cif,326,N/A,0.003
1013514.cif,206,N/A,0.002
1612451.cif,228,N/A,0.001
1803623.cif,296,N/A,0.002
1646028.cif,236,N/A,0.002
1231057.cif,233,N/A,0.002
459686.cif,212,N/A,0.001
460761.cif,261,N/A,0.002
1812048.cif,498,N/A,0.003
1008108.cif,268,N/A,0.001
1818217.cif,414,N/A,0.002
1803637.cif,212,N/A,0.002
1013528.cif,150,N/A,0.001
1430106.cif,308,N/A,0.002
539614.cif,296,N/A,0.002
1020109.cif,317,N/A,0.002
1142798.cif,296,N/A,0.002
1200275.cif,300,N/A,0.002
1217709.cif,261,N/A,0.002
300543.cif,272,N/A,0.001
301885.cif,212,N/A,0.001
1614949.cif,228,N/A,0.001
1146298.cif,233,N/A,0.002
1611831.cif,175,N/A,0.002
1624646.cif,228,N/A,0.001
300557.cif,212,N/A,0.002
1730141.cif,266,N/A,0.002
555043.cif,212,N/A,0.001
1008691.cif,253,N/A,0.002
1233873.cif,175,N/A,0.002
459645.cif,212,N/A,0.001
1731511.cif,206,N/A,0.002
1008861.cif,183,N/A,0.002
1803838.cif,183,N/A,0.002
537188.cif,212,N/A,0.002
536296.cif,212,N/A,0.002
535947.cif,296,N/A,0.002
535953.cif,296,N/A,0.002
1236089.cif,180,N/A,0.001
1231080.cif,233,N/A,0.001
1954551.cif,228,N/A,0.001
1830969.cif,284,N/A,0.002
461899.cif,180,N/A,0.001
1008322.cif,326,N/A,0.003
1041044.cif,206,N/A,0.002
462348.cif,175,N/A,0.002
1606154.cif,402,N/A,0.002
1013702.cif,183,N/A,0.001
1828698.cif,316,N/A,0.001
1826879.cif,228,N/A,0.001
1048074.cif,206,N/A,0.002
1013716.cif,386,N/A,0.002
1341956.cif,300,N/A,0.003
301488.cif,470,N/A,0.003
537349.cif,413,N/A,0.002
300966.cif,212,N/A,0.002
1010237.cif,296,N/A,0.002
1955115.cif,332,N/A,0.002
458942.cif,228,N/A,0.001
1007993.cif,284,N/A,0.002
535238.cif,175,N/A,0.002
1228704.cif,108,N/A,0.001
1234339.cif,206,N/A,0.002
1000756.cif,313,N/A,0.002
300972.cif,212,N/A,0.002
1252902.cif,495,N/A,0.002
312345.cif,316,N/A,0.001
302156.cif,332,N/A,0.002
1219240.cif,414,N/A,0.002
1200063.cif,402,N/A,0.002
1405340.cif,456,N/A,0.002
1008493.cif,175,N/A,0.002
1828129.cif,266,N/A,0.002
461696.cif,466,N/A,0.003
1240321.cif,222,N/A,0.001
1228089.cif,212,N/A,0.001
1625982.cif,180,N/A,0.001
1606183.cif,233,N/A,0.002
1922438.cif,413,N/A,0.003
1007950.cif,326,N/A,0.003
1826892.cif,212,N/A,0.001
1221085.cif,108,N/A,0.001
1826886.cif,180,N/A,0.001
1231282.cif,300,N/A,0.002
1814834.cif,498,N/A,0.003
1406113.cif,212,N/A,0.001
301477.cif,206,N/A,0.002
1248741.cif,210,N/A,0.001
1000795.cif,416,N/A,0.002
1944971.cif,180,N/A,0.001
1727603.cif,380,N/A,0.002
381276.cif,466,N/A,0.004
1231283.cif,300,N/A,0.002
1007945.cif,296,N/A,0.002
1727602.cif,304,N/A,0.002
1933520.cif,169,N/A,0.002
1248740.cif,332,N/A,0.003
301476.cif,206,N/A,0.002
1406112.cif,212,N/A,0.002
1120322.cif,296,N/A,0.002
1627164.cif,353,N/A,0.003
1907849.cif,180,N/A,0.001
1935145.cif,307,N/A,0.002
1922439.cif,413,N/A,0.002
1221084.cif,481,N/A,0.004
458980.cif,332,N/A,0.003
1007951.cif,326,N/A,0.003
1008492.cif,175,N/A,0.002
1405341.cif,456,N/A,0.002
1606182.cif,233,N/A,0.001
1625983.cif,180,N/A,0.001
1228088.cif,212,N/A,0.002
461697.cif,228,N/A,0.001
1828128.cif,266,N/A,0.002
1240334.cif,326,N/A,0.002
312344.cif,316,N/A,0.002
1254427.cif,183,N/A,0.002
1943951.cif,426,N/A,0.002
300973.cif,212,N/A,0.002
1000757.cif,313,N/A,0.002
1634871.cif,267,N/A,0.002
300967.cif,212,N/A,0.002
1128965.cif,296,N/A,0.002
537348.cif,413,N/A,0.002
1947510.cif,333,N/A,0.002
1228705.cif,108,N/A,0.001
535239.cif,175,N/A,0.002
1007992.cif,284,N/A,0.002
1717070.cif,266,N/A,0.002
458943.cif,228,N/A,0.001
1010236.cif,296,N/A,0.002
551783.cif,212,N/A,0.002
1013717.cif,316,N/A,0.002
1322214.cif,212,N/A,0.001
301489.cif,334,N/A,0.002
1606155.cif,402,N/A,0.002
462349.cif,175,N/A,0.002
1840531.cif,160,N/A,0.001
1828699.cif,175,N/A,0.002
1013703.cif,183,N/A,0.002
1120134.cif,180,N/A,0.002
1907487.cif,233,N/A,0.002
535952.cif,296,N/A,0.002
552077.cif,430,N/A,0.004
1803839.cif,175,N/A,0.004
1008860.cif,212,N/A,0.002
459644.cif,212,N/A,0.003
535946.cif,296,N/A,0.003
1608385.cif,175,N/A,0.002
536297.cif,212,N/A,0.004
555042.cif,212,N/A,0.003
1730140.cif,266,N/A,0.003
300556.cif,212,N/A,0.004
1624647.cif,228,N/A,0.003
1929746.cif,228,N/A,0.003
548775.cif,212,N/A,0.002
1008690.cif,386,N/A,0.003
1612493.cif,180,N/A,0.002
1217708.cif,261,N/A,0.003
1200274.cif,300,N/A,0.003
1611830.cif,212,N/A,0.002
300542.cif,272,N/A,0.002
1818216.cif,414,N/A,0.003
1008109.cif,268,N/A,0.002
1713766.cif,309,N/A,0.003
539615.cif,296,N/A,0.002
1430107.cif,308,N/A,0.002
1013529.cif,332,N/A,0.003
1803636.cif,212,N/A,0.002
1941377.cif,296,N/A,0.002
459693.cif,332,N/A,0.003
1231056.cif,233,N/A,0.002
1718141.cif,253,N/A,0.002
1803622.cif,296,N/A,0.003
460760.cif,261,N/A,0.002
302382.cif,296,N/A,0.002
460748.cif,212,N/A,0.001
1228249.cif,228,N/A,0.001
460990.cif,206,N/A,0.002
1236077.cif,466,N/A,0.003
1008135.cif,212,N/A,0.002
1612450.cif,228,N/A,0.002
1013515.cif,268,N/A,0.002
1005363.cif,268,N/A,0.002
1013501.cif,332,N/A,0.002
1612444.cif,228,N/A,0.001
1008121.cif,175,N/A,0.002
1232205.cif,228,N/A,0.001
1804617.cif,450,N/A,0.003
302396.cif,228,N/A,0.002
536268.cif,212,N/A,0.001
1234933.cif,426,N/A,0.002
540261.cif,270,N/A,0.002
1406264.cif,261,N/A,0.002
1412211.cif,296,N/A,0.002
1718784.cif,228,N/A,0.001
459724.cif,212,N/A,0.001
300378.cif,212,N/A,0.001
540507.cif,228,N/A,0.001
1803781.cif,206,N/A,0.002
1803795.cif,284,N/A,0.002
315007.cif,332,N/A,0.002
1237590.cif,266,N/A,0.002
1831727.cif,108,N/A,0.001
1633267.cif,402,N/A,0.002
1049790.cif,332,N/A,0.002
301714.cif,183,N/A,0.002
1216238.cif,394,N/A,0.002
548629.cif,212,N/A,0.001
1242669.cif,160,N/A,0.002
1627212.cif,180,N/A,0.002
1639004.cif,175,N/A,0.002
1121362.cif,286,N/A,0.002
1008928.cif,456,N/A,0.002
300436.cif,206,N/A,0.002
1531392.cif,206,N/A,0.002
1965438.cif,296,N/A,0.002
1611777.cif,228,N/A,0.001
1927186.cif,180,N/A,0.001
1320749.cif,316,N/A,0.002
1829801.cif,228,N/A,0.001
1010140.cif,212,N/A,0.001
1004135.cif,300,N/A,0.002
1223240.cif,211,N/A,0.002
1024583.cif,307,N/A,0.002
1008069.cif,464,N/A,0.002
536308.cif,212,N/A,0.002
1148317.cif,194,N/A,0.002
1047756.cif,212,N/A,0.002
300387.cif,212,N/A,0.002
1008727.cif,296,N/A,0.002
538443.cif,228,N/A,0.001
539749.cif,394,N/A,0.002
1718009.cif,316,N/A,0.001
1008055.cif,228,N/A,0.001
1122864.cif,228,N/A,0.001
1952257.cif,332,N/A,0.002
1944435.cif,296,N/A,0.002
1606223.cif,402,N/A,0.002
1907518.cif,332,N/A,0.002
1007831.cif,206,N/A,0.002
1227595.cif,228,N/A,0.001
1828706.cif,316,N/A,0.001
1816830.cif,267,N/A,0.002
1011935.cif,333,N/A,0.002
555308.cif,296,N/A,0.002
1533977.cif,332,N/A,0.002
1232198.cif,180,N/A,0.001
1627010.cif,261,N/A,0.002
461913.cif,212,N/A,0.002
1731666.cif,317,N/A,0.002
1816824.cif,267,N/A,0.002
1621307.cif,180,N/A,0.001
1013688.cif,199,N/A,0.002
1960018.cif,212,N/A,0.001
1944186.cif,228,N/A,0.001
1963539.cif,175,N/A,0.002
1957844.cif,160,N/A,0.001
1960030.cif,212,N/A,0.002
1627038.cif,482,N/A,0.003
1410638.cif,212,N/A,0.001
1008280.cif,210,N/A,0.001
1434956.cif,296,N/A,0.002
555320.cif,296,N/A,0.002
548417.cif,175,N/A,0.002
1702290.cif,228,N/A,0.001
1340254.cif,284,N/A,0.002
1960024.cif,212,N/A,0.002
1241638.cif,212,N/A,0.002
552329.cif,228,N/A,0.002
560416.cif,267,N/A,0.002
1150766.cif,211,N/A,0.002
1228103.cif,323,N/A,0.002
1230994.cif,228,N/A,0.001
300807.cif,212,N/A,0.001
1642893.cif,416,N/A,0.002
1230980.cif,228,N/A,0.001
300813.cif,212,N/A,0.002
1120295.cif,212,N/A,0.002
536122.cif,233,N/A,0.002
1150772.cif,211,N/A,0.002
1012555.cif,206,N/A,0.002
458837.cif,206,N/A,0.002
1048129.cif,194,N/A,0.002
312581.cif,466,N/A,0.004
537572.cif,212,N/A,0.002
461046.cif,440,N/A,0.002
1049579.cif,456,N/A,0.002
1008243.cif,296,N/A,0.002
1320211.cif,266,N/A,0.002
1046886.cif,180,N/A,0.001
1008257.cif,456,N/A,0.002
1241823.cif,296,N/A,0.002
1013677.cif,228,N/A,0.001
537566.cif,495,N/A,0.002
1150758.cif,211,N/A,0.002
1008241.cif,356,N/A,0.002
1612042.cif,296,N/A,0.002
1959670.cif,212,N/A,0.001
537570.cif,495,N/A,0.002
1013675.cif,228,N/A,0.001
537564.cif,495,N/A,0.002
1929383.cif,268,N/A,0.001
1049209.cif,226,N/A,0.002
555487.cif,212,N/A,0.002
1241821.cif,296,N/A,0.002
1008255.cif,228,N/A,0.001
1142348.cif,450,N/A,0.003
1819254.cif,233,N/A,0.002
300805.cif,212,N/A,0.001
1230996.cif,228,N/A,0.001
1228101.cif,323,N/A,0.002
1150764.cif,211,N/A,0.002
1406919.cif,266,N/A,0.002
458835.cif,206,N/A,0.002
537558.cif,333,N/A,0.003
1013649.cif,199,N/A,0.002
1150770.cif,211,N/A,0.002
1907724.cif,206,N/A,0.002
300811.cif,212,N/A,0.002
1230982.cif,228,N/A,0.002
1143081.cif,212,N/A,0.002
1406058.cif,464,N/A,0.002
1630220.cif,175,N/A,0.002
1211019.cif,326,N/A,0.003
1144088.cif,206,N/A,0.004
1960026.cif,212,N/A,0.002
538694.cif,212,N/A,0.002
380988.cif,228,N/A,0.002
1210475.cif,206,N/A,0.002
1008296.cif,326,N/A,0.003
555322.cif,296,N/A,0.002
1005942.cif,160,N/A,0.002
1011937.cif,333,N/A,0.002
1828704.cif,316,N/A,0.001
1227597.cif,498,N/A,0.003
300178.cif,212,N/A,0.002
1964268.cif,194,N/A,0.002
1936248.cif,268,N/A,0.001
1627774.cif,332,N/A,0.002
1816826.cif,267,N/A,0.002
461911.cif,180,N/A,0.002
301514.cif,296,N/A,0.002
1120254.cif,212,N/A,0.001
1627012.cif,261,N/A,0.002
1901396.cif,426,N/A,0.002
1013463.cif,129,N/A,0.001
1231108.cif,272,N/A,0.002
1008725.cif,296,N/A,0.002
1148315.cif,194,N/A,0.002
1949113.cif,263,N/A,0.002
1222160.cif,456,N/A,0.002
1122866.cif,228,N/A,0.001
1008057.cif,228,N/A,0.001
1007364.cif,175,N/A,0.002
1008731.cif,296,N/A,0.002
300391.cif,212,N/A,0.002
1234064.cif,301,N/A,0.003
1013477.cif,212,N/A,0.002
1008719.cif,296,N/A,0.002
1927184.cif,180,N/A,0.002
537028.cif,175,N/A,0.002
1810728.cif,472,N/A,0.003
459097.cif,212,N/A,0.002
1964903.cif,417,N/A,0.002
1024581.cif,307,N/A,0.003
536322.cif,212,N/A,0.002
1010142.cif,332,N/A,0.002
559068.cif,212,N/A,0.002
1126369.cif,267,N/A,0.002
1411040.cif,323,N/A,0.003
1008094.cif,199,N/A,0.002
1121374.cif,286,N/A,0.002
1234919.cif,212,N/A,0.001
1926271.cif,268,N/A,0.001
300352.cif,212,N/A,0.002
1200302.cif,206,N/A,0.002
315011.cif,332,N/A,0.002
546174.cif,212,N/A,0.002
459726.cif,212,N/A,0.002
1810099.cif,228,N/A,0.001
1216548.cif,498,N/A,0.003
1049786.cif,332,N/A,0.002
1718786.cif,228,N/A,0.001
1633271.cif,402,N/A,0.002
540263.cif,270,N/A,0.002
1406266.cif,261,N/A,0.002
1234931.cif,284,N/A,0.002
1937432.cif,414,N/A,0.002
1023239.cif,323,N/A,0.002
1627210.cif,180,N/A,0.001
301716.cif,382,N/A,0.002
1633265.cif,402,N/A,0.002
1831725.cif,451,N/A,0.003
1227781.cif,212,N/A,0.001
1833654.cif,233,N/A,0.002
315005.cif,332,N/A,0.003
1149786.cif,183,N/A,0.002
1013488.cif,284,N/A,0.002
1608595.cif,481,N/A,0.003
1803608.cif,296,N/A,0.002
1008651.cif,160,N/A,0.002
1008137.cif,180,N/A,0.001
461454.cif,326,N/A,0.002
1236075.cif,436,N/A,0.003
1944557.cif,332,N/A,0.003
312193.cif,233,N/A,0.002
1804615.cif,450,N/A,0.003
557858.cif,180,N/A,0.001
538247.cif,228,N/A,0.001
1232207.cif,300,N/A,0.002
1008123.cif,212,N/A,0.001
1933913.cif,228,N/A,0.001
1612446.cif,228,N/A,0.001
1231068.cif,233,N/A,0.002
1008645.cif,212,N/A,0.002
1013503.cif,212,N/A,0.001
1049157.cif,228,N/A,0.001
1051718.cif,356,N/A,0.002
459691.cif,212,N/A,0.002
1217939.cif,160,N/A,0.001
1941375.cif,180,N/A,0.001
1803634.cif,212,N/A,0.001
1042002.cif,211,N/A,0.002
1430105.cif,228,N/A,0.002
548788.cif,212,N/A,0.002
1818214.cif,414,N/A,0.002
1007238.cif,206,N/A,0.001
1006132.cif,212,N/A,0.001
460762.cif,261,N/A,0.002
1803620.cif,296,N/A,0.002
1645522.cif,206,N/A,0.002
459685.cif,212,N/A,0.001
1008679.cif,228,N/A,0.001
1008692.cif,228,N/A,0.001
554438.cif,206,N/A,0.002
1803813.cif,386,N/A,0.002
1628719.cif,280,N/A,0.002
548777.cif,212,N/A,0.002
546982.cif,183,N/A,0.001
300554.cif,272,N/A,0.001
1624645.cif,228,N/A,0.001
1405627.cif,448,N/A,0.003
1415434.cif,268,N/A,0.001
459108.cif,212,N/A,0.002
555040.cif,183,N/A,0.002
535978.cif,296,N/A,0.002
1611832.cif,316,N/A,0.001
537809.cif,228,N/A,0.001
1008686.cif,482,N/A,0.003
1200276.cif,300,N/A,0.002
1024344.cif,206,N/A,0.002
1211353.cif,267,N/A,0.002
552075.cif,199,N/A,0.002
300568.cif,212,N/A,0.002
1415408.cif,360,N/A,0.002
535950.cif,296,N/A,0.002
312178.cif,228,N/A,0.001
1636269.cif,450,N/A,0.003
536295.cif,212,N/A,0.001
1627364.cif,434,N/A,0.003
535944.cif,296,N/A,0.002
1731512.cif,206,N/A,0.002
459646.cif,212,N/A,0.002
1211347.cif,267,N/A,0.002
1231097.cif,233,N/A,0.002
1008862.cif,296,N/A,0.002
1147807.cif,228,N/A,0.001
312391.cif,212,N/A,0.001
1341955.cif,300,N/A,0.002
1606143.cif,233,N/A,0.002
1008335.cif,296,N/A,0.002
1322216.cif,212,N/A,0.002
458969.cif,332,N/A,0.002
1638913.cif,233,N/A,0.001
1013701.cif,183,N/A,0.001
300959.cif,212,N/A,0.001
1606157.cif,233,N/A,0.001
1819308.cif,296,N/A,0.002
1953215.cif,206,N/A,0.002
300971.cif,212,N/A,0.001
1224129.cif,272,N/A,0.001
1947506.cif,436,N/A,0.004
1013729.cif,175,N/A,0.002
1211192.cif,429,N/A,0.002
1228713.cif,456,N/A,0.002
460212.cif,296,N/A,0.002
1144103.cif,364,N/A,0.002
1010234.cif,212,N/A,0.002
458941.cif,228,N/A,0.001
1007990.cif,284,N/A,0.002
1228707.cif,108,N/A,0.001
1947512.cif,284,N/A,0.002
300965.cif,212,N/A,0.001
312352.cif,296,N/A,0.002
1120308.cif,212,N/A,0.002
1606180.cif,233,N/A,0.001
1405343.cif,456,N/A,0.002
1831309.cif,212,N/A,0.001
551756.cif,212,N/A,0.002
1420841.cif,296,N/A,0.002
312346.cif,316,N/A,0.002
302155.cif,332,N/A,0.002
1000966.cif,500,N/A,0.003
1120334.cif,199,N/A,0.002
301474.cif,206,N/A,0.002
1826885.cif,228,N/A,0.001
381274.cif,466,N/A,0.004
1321938.cif,212,N/A,0.002
1007953.cif,326,N/A,0.003
1826891.cif,212,N/A,0.001
1221086.cif,296,N/A,0.002
1522918.cif,206,N/A,0.002
1043877.cif,307,N/A,0.002
1221087.cif,175,N/A,0.002
1007952.cif,326,N/A,0.003
1220399.cif,267,N/A,0.002
1937037.cif,212,N/A,0.002
1215444.cif,183,N/A,0.001
1043876.cif,307,N/A,0.002
1935146.cif,212,N/A,0.002
1727601.cif,304,N/A,0.002
1944973.cif,212,N/A,0.001
1248743.cif,210,N/A,0.001
301475.cif,206,N/A,0.002
1120335.cif,199,N/A,0.002
381275.cif,466,N/A,0.004
1826884.cif,180,N/A,0.001
1921669.cif,175,N/A,0.002
551757.cif,212,N/A,0.001
1407541.cif,212,N/A,0.002
1406139.cif,212,N/A,0.002
1606181.cif,233,N/A,0.002
1253439.cif,267,N/A,0.002
1625980.cif,180,N/A,0.001
1008491.cif,175,N/A,0.002
1405342.cif,456,N/A,0.002
1704782.cif,450,N/A,0.003
1410029.cif,394,N/A,0.002
1947513.cif,175,N/A,0.002
1228706.cif,108,N/A,0.001
1007991.cif,284,N/A,0.002
458940.cif,228,N/A,0.001
1434174.cif,328,N/A,0.002
1010235.cif,296,N/A,0.002
300964.cif,212,N/A,0.001
300970.cif,212,N/A,0.002
1008308.cif,175,N/A,0.002
1634872.cif,263,N/A,0.002
460213.cif,296,N/A,0.002
1947507.cif,436,N/A,0.004
1224128.cif,272,N/A,0.002
1435256.cif,160,N/A,0.001
1633853.cif,233,N/A,0.002
1013700.cif,183,N/A,0.002
1606156.cif,233,N/A,0.001
300958.cif,212,N/A,0.001
1612123.cif,300,N/A,0.002
537363.cif,212,N/A,0.002
1341954.cif,300,N/A,0.002
1013072.cif,323,N/A,0.002
1638912.cif,233,N/A,0.002
458968.cif,332,N/A,0.002
1322217.cif,212,N/A,0.002
535945.cif,296,N/A,0.002
1022046.cif,212,N/A,0.002
536294.cif,212,N/A,0.001
1636268.cif,450,N/A,0.003
312179.cif,228,N/A,0.001
1407019.cif,142,N/A,0.001
1008863.cif,175,N/A,0.002
1231096.cif,233,N/A,0.002
459647.cif,212,N/A,0.002
1211352.cif,267,N/A,0.002
1248227.cif,212,N/A,0.001
1024345.cif,180,N/A,0.001
381077.cif,228,N/A,0.001
535951.cif,296,N/A,0.002
1827026.cif,175,N/A,0.002
1415409.cif,360,N/A,0.002
300569.cif,212,N/A,0.002
1939542.cif,228,N/A,0.001
1624650.cif,316,N/A,0.002
300541.cif,272,N/A,0.001
537808.cif,228,N/A,0.001
1008693.cif,370,N/A,0.002
555041.cif,212,N/A,0.001
459109.cif,212,N/A,0.001
1415435.cif,268,N/A,0.001
300555.cif,272,N/A,0.001
548776.cif,212,N/A,0.001
1929745.cif,228,N/A,0.001
1948344.cif,180,N/A,0.001
460763.cif,261,N/A,0.002
1008678.cif,253,N/A,0.002
1615314.cif,296,N/A,0.002
459684.cif,212,N/A,0.001
1730816.cif,456,N/A,0.002
1803621.cif,296,N/A,0.002
1950279.cif,212,N/A,0.002
1430104.cif,228,N/A,0.001
1803635.cif,212,N/A,0.001
1217938.cif,160,N/A,0.001
459690.cif,212,N/A,0.001
1643146.cif,228,N/A,0.001
1051719.cif,356,N/A,0.002
1531568.cif,326,N/A,0.003
1144300.cif,296,N/A,0.002
1007239.cif,206,N/A,0.002
1818215.cif,414,N/A,0.002
1127843.cif,229,N/A,0.002
548789.cif,212,N/A,0.001
1232206.cif,464,N/A,0.002
538246.cif,228,N/A,0.001
302395.cif,300,N/A,0.002
1013502.cif,332,N/A,0.002
1008644.cif,212,N/A,0.001
1231069.cif,233,N/A,0.001
1612447.cif,228,N/A,0.002
1008650.cif,160,N/A,0.001
1013516.cif,500,N/A,0.004
1803609.cif,296,N/A,0.002
1042759.cif,316,N/A,0.002
1051043.cif,90,N/A,0.001
300409.cif,333,N/A,0.002
1406273.cif,180,N/A,0.002
1627211.cif,356,N/A,0.002
1608594.cif,300,N/A,0.002
540510.cif,206,N/A,0.002
1803796.cif,175,N/A,0.002
1149787.cif,183,N/A,0.001
1013489.cif,284,N/A,0.003
315004.cif,212,N/A,0.002
1227780.cif,212,N/A,0.002
1216549.cif,468,N/A,0.003
1236699.cif,206,N/A,0.002
1810098.cif,356,N/A,0.002
1010194.cif,296,N/A,0.002
459727.cif,212,N/A,0.002
315010.cif,332,N/A,0.002
1937433.cif,414,N/A,0.003
1234930.cif,332,N/A,0.002
1406267.cif,261,N/A,0.002
540262.cif,270,N/A,0.002
1633270.cif,402,N/A,0.002
1047972.cif,206,N/A,0.002
302222.cif,304,N/A,0.002
1234918.cif,212,N/A,0.002
1636320.cif,266,N/A,0.002
1008095.cif,199,N/A,0.002
300353.cif,212,N/A,0.001
538497.cif,333,N/A,0.002
1411041.cif,323,N/A,0.002
1121361.cif,206,N/A,0.002
1007359.cif,175,N/A,0.002
1810729.cif,472,N/A,0.003
1531408.cif,413,N/A,0.002
1010143.cif,212,N/A,0.001
1927185.cif,180,N/A,0.001
1008718.cif,296,N/A,0.002
537029.cif,175,N/A,0.002
1024594.cif,307,N/A,0.002
1008056.cif,228,N/A,0.001
1944436.cif,296,N/A,0.002
1013476.cif,212,N/A,0.002
300390.cif,212,N/A,0.001
1008730.cif,296,N/A,0.002
300384.cif,212,N/A,0.001
1008724.cif,296,N/A,0.002
1231109.cif,272,N/A,0.001
538440.cif,212,N/A,0.002
1148314.cif,234,N/A,0.002
1122873.cif,212,N/A,0.001
1047755.cif,212,N/A,0.001
555479.cif,212,N/A,0.001
1816827.cif,267,N/A,0.002
312569.cif,212,N/A,0.002
1630209.cif,308,N/A,0.003
1901397.cif,426,N/A,0.002
1939608.cif,212,N/A,0.001
1627013.cif,261,N/A,0.002
301515.cif,296,N/A,0.002
1011936.cif,333,N/A,0.002
300179.cif,212,N/A,0.001
1227596.cif,498,N/A,0.003
1828705.cif,175,N/A,0.002
538695.cif,212,N/A,0.001
1960027.cif,212,N/A,0.001
1214174.cif,268,N/A,0.001
301529.cif,356,N/A,0.003
555323.cif,296,N/A,0.002
1503647.cif,474,N/A,0.003
1406059.cif,464,N/A,0.002
